arm,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,seed,source_file,ablation_axis
closed_loop,0.63,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.65,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.67,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.69,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.71,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.73,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.75,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.77,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.79,30,13,17,0,0,0,1.0,,30,0.0,-4.0,118.0,36.86666666666667,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.81,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.83,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.85,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.87,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.89,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.91,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.93,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.95,30,12,18,0,0,0,1.0,,30,0.0,-4.0,118.0,36.733333333333334,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.97,30,11,19,0,0,0,1.0,,30,0.0,-4.0,117.0,36.43333333333333,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
closed_loop,0.99,30,10,20,0,0,0,1.0,,30,0.0,-4.0,117.0,36.3,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.05,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.07,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.09,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.11,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.13,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.15,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.17,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.19,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.21,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.23,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.25,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.27,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.29,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.31,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.33,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.35,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.37,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.39,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.41,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.43,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.45,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.47,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.49,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.51,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.53,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.55,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
physical_only,0.57,30,0,25,5,0,0,0.8333333333333334,,25,-3.0,-35.0,0.0,-13.84,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,42,exp04_lead_time_20260802T042212Z.csv,open_vs_closed
