system,knowledge_level,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
dbn_hard_evidence,analytics,0.89,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.91,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.93,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.95,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.97,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.99,30,0,0,25,0,5,0.0,0.0,0,,,,,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,full_dbn,0.05,30,17,13,0,0,0,1.0,,30,1.0,0.0,56.0,15.233333333333333,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,full_dbn,0.07,30,17,13,0,0,0,1.0,,30,1.0,0.0,56.0,15.233333333333333,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,full_dbn,0.09,30,17,13,0,0,0,1.0,,30,1.0,0.0,56.0,15.233333333333333,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,full_dbn,0.11,30,17,13,0,0,0,1.0,,30,1.0,0.0,56.0,15.233333333333333,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,full_dbn,0.13,30,17,13,0,0,0,1.0,,30,1.0,0.0,56.0,15.233333333333333,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
