arm,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
soft_uncalibrated,0.73,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2666666666666666,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.75,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2666666666666666,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.77,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2666666666666666,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.79,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.3333333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.81,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.4,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.83,30,0,30,0,0,0,1.0,,30,-1.0,-5.0,0.0,-3.6333333333333337,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.85,30,0,30,0,0,0,1.0,,30,-1.0,-5.0,0.0,-3.8,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.87,30,0,30,0,0,0,1.0,,30,-1.0,-28.0,0.0,-5.333333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.89,30,0,30,0,0,0,1.0,,30,-2.0,-35.0,0.0,-8.033333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.91,30,0,30,0,0,0,1.0,,30,-2.0,-36.0,0.0,-8.433333333333334,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.93,30,0,30,0,0,0,1.0,,30,-4.0,-44.0,0.0,-12.933333333333334,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
